OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,CRMCYBURG,CRMCYTOTC,TOTPOP_CY,UNEMPRT_CY_I,HISPPOP_CY_P,MEDHINC_CY_I,ACSVET_P,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,X14068_X_I,X14068FY_X_I,ACSHSGRAD_P,ACSVET_P_1,ACS35NOHI_P,ACSEDNOSCH_P,ACSGRNTI50_P,ACSBLWPV_P,ACSPUBAI_P,ACSHHDIS_P,source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score
1,0,1,-1,AD-58,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,85,44,1580,43,31.77,137,9.34,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,124,129,19.08,9.05,3.69,1.04,18.18,7.27,1.5,20.75,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,105,115,0,0,4,0,0.0,1145.84,0,0.0,3886.45,1,38.07,642.38,8,0,0.0,1945.87,0.0,0,0.0,0,0.43,1,74.16,1,0.0,0,2.18,39.19,31.0,1.09,28.71,5,51.05
2,1,2,1522,AE-58,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,84,35,1620,93,34.01,120,4.81,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,118,121,14.58,4.88,3.17,0.12,26.89,3.98,0.3,19.18,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.70622287,-118.28897388,"540 W PASEO DEL MAR, 90731",90.0,33.7062228729_-118.288973882_90.jpg,1.0,0.852,tent,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,56,59,0,0,0,0,0.0,1857.47,0,0.0,4513.51,0,0.0,744.97,5,0,0.0,3146.57,0.0,0,0.0,0,1.08,1,31.66,1,0.0,0,1.07,29.61,34.33,3.43,32.62,5,53.71
3,1,2,1524,AE-58,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,84,35,1620,93,34.01,120,4.81,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,118,121,14.58,4.88,3.17,0.12,26.89,3.98,0.3,19.18,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.70622287,-118.28897388,"540 W PASEO DEL MAR, 90731",270.0,33.7062228729_-118.288973882_270.jpg,1.0,0.8591,tent,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,56,59,0,0,0,0,0.0,1857.47,0,0.0,4513.51,0,0.0,744.97,5,0,0.0,3146.57,0.0,0,0.0,0,1.08,1,31.66,1,0.0,0,1.07,29.61,34.33,3.43,32.62,5,53.71
4,0,3,-1,AD-57,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,105,62,8403,69,47.41,105,4.13,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,92,23.73,4.67,4.2,1.35,26.81,10.76,4.16,20.34,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,1,488,465,0,0,4,18,1650.76,76.58,0,0.0,2675.78,0,0.0,1321.62,1,0,0.0,1347.75,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.41,16.99,67.25,0.97,14.79,5,76.65
5,0,4,-1,AE-57,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,72,37,3175,64,35.78,116,9.34,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,100,103,18.9,7.42,3.74,0.95,18.47,9.86,0.92,18.95,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,157,158,0,0,1,0,0.0,825.79,0,0.0,3306.46,0,0.0,694.37,0,0,0.0,2536.2,0.0,0,0.0,0,4.34,1,85.14,1,0.0,0,1.32,20.53,44.85,13.57,21.06,5,61.0
6,0,5,-1,AF-57,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,55,80,164,0,42.07,63,7.81,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,158,144,11.48,4.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,31,33,0,0,0,0,0.0,1684.93,0,0.0,3015.01,0,0.0,1305.32,3,0,0.0,3017.19,27.61,1,0.0,0,31.16,1,64.53,1,0.0,0,0.7,5.61,46.4,40.88,7.11,5,62.27
7,0,6,-1,AB-56,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,58,27,1500,57,22.8,225,5.31,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,182,183,15.15,2.82,1.9,0.78,47.06,7.15,0.16,18.11,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,2,1,0,0,0,48,51,0,0,0,8,1835.98,307.64,0,0.0,2930.57,1,330.48,504.84,2,2,1837.82,307.95,0.0,0,0.0,0,0.81,1,100.0,1,0.0,0,7.23,55.29,22.75,1.32,20.63,3,43.76
8,0,7,-1,AC-56,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,73,48,3790,64,33.35,172,6.87,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,141,142,21.8,8.44,0.31,1.18,25.31,6.36,0.9,20.06,,,,,,,,,,1.295,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,239,241,0,0,0,15,1585.92,258.46,0,0.0,2525.54,0,0.0,633.83,6,2,1978.58,258.36,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.64,27.05,48.72,1.15,23.08,5,63.31
9,1,8,664,AD-56,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,88,7784,155,59.08,94,3.07,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,87,89,19.67,3.13,8.85,2.69,38.85,15.16,7.08,20.84,api_test_workflow_v2_remaining_model6_2026-05-08,33.73320591,-118.29608552,"865 W 12TH ST, 90731",0.0,33.7332059136_-118.296085521_0.jpg,1.0,0.8994,tent,1.295,17.47,29.74,16.36,0,0,,,12,0,0,1,0,2,2,0,1,0,0,0,612,586,0,0,8,13,925.7,438.61,0,0.0,1484.63,3,326.0,405.86,4,0,0.0,1456.69,0.33,1,0.0,0,0.0,0,100.0,1,0.0,0,3.26,17.53,68.72,1.41,12.33,5,77.13
10,1,8,1581,AD-56,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110,88,7784,155,59.08,94,3.07,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,87,89,19.67,3.13,8.85,2.69,38.85,15.16,7.08,20.84,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.7334595,-118.29448328,"1186 S CABRILLO AVE, 90731",270.0,33.733459505_-118.294483284_270.jpg,1.0,0.873,tent,1.295,17.47,29.74,16.36,0,0,,,12,0,0,1,0,2,2,0,1,0,0,0,612,586,0,0,8,13,925.7,438.61,0,0.0,1484.63,3,326.0,405.86,4,0,0.0,1456.69,0.33,1,0.0,0,0.0,0,100.0,1,0.0,0,3.26,17.53,68.72,1.41,12.33,5,77.13
11,1,9,849,AE-56,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,114,96,7988,136,67.41,77,2.95,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,82,85,22.35,3.03,7.49,1.63,31.34,20.29,10.24,24.92,api_test_workflow_v2_10pct_model6_2026-05-06_live,33.72937487,-118.27971855,"1600 S HARBOR BLVD, 90731",270.0,33.7293748714_-118.27971855_270.jpg,1.0,0.6501,tent,1.295,17.47,29.74,16.36,0,0,,,33,0,1,0,0,2,0,0,0,0,0,1,600,562,0,0,1,6,287.39,622.78,0,0.0,2117.19,0,0.0,1391.77,6,0,0.0,2177.6,0.0,0,0.0,0,1.27,1,100.0,1,0.0,0,0.35,14.45,61.5,1.67,22.38,5,72.94
