GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,burglary_crime_est,total_crime_est,total_population,unemployment_rate_idx,pct_hispanic,median_income_idx,pct_veterans,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,esri_market_idx_14068,esri_market_idx_14068_forecast,pct_hs_grad,pct_veterans_2,pct_no_health_insurance,pct_no_schooling,pct_severe_rent_burden,pct_below_poverty,pct_public_assistance,pct_household_disability,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score,colnum,row,Join_Count,latitude,longitude,school_count,tent_present,centroid_lat,centroid_lon,centroid_source,baseline_risk,top_interaction_a,top_interaction_b,top_interaction_val
A-12,42,US,593,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,56,55,3202,76,21.11,155,4.64,22,US,593,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,134,135,9.53,4.77,1.51,2.37,58.89,12.61,3.62,32.48,1.295,17.47,29.74,16.36,0,0,,,14,0,0,0,0,0,0,0,0,0,0,0,240,256,0,0,1,0,0.0,738.96,0,0.0,4975.28,3,1918.13,342.97,1,0,0.0,2189.11,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,3.07,18.67,55.83,4.56,20.95,5,68.16,1,12,0,,,0,0,34.21523303738099,-118.62887847629764,reconstructed,0.5548606222330733,total_crime_est,la_geohub_fire_hazard_area_pct,0.008332669241551176
A-13,17,US,568,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,67,59,2936,129,19.18,201,3.11,33,US,568,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,158,157,17.04,3.05,1.24,1.63,34.33,5.47,1.49,21.51,1.295,17.47,29.74,16.36,0,0,,,52,1,0,0,0,1,1,0,0,0,0,0,354,393,0,0,1,0,0.0,1684.64,0,0.0,3893.8,9,2308.39,329.48,8,0,0.0,2189.44,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.75,25.65,46.64,6.2,21.51,5,61.82,1,13,0,,,2,0,34.20423111264154,-118.62885945090044,reconstructed,0.5897552647825169,total_population,hospital_count,0.03970656574471966
AA-16,16,US,521,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,80,85,4278,79,26.51,162,4.67,9,US,517,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,138,137,8.53,5.55,1.24,2.15,9.84,7.41,3.57,23.6,1.295,17.47,29.74,16.36,0,0,,,12,0,0,1,0,1,0,0,0,0,0,0,112,114,0,0,0,0,0.0,1268.09,0,0.0,1682.31,0,0.0,1394.78,8,0,0.0,1721.49,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.19,19.58,52.06,5.53,22.83,5,65.78,27,16,0,,,1,0,34.17101383116367,-118.33132412099508,reconstructed,0.5182208450570657,hospital_count,business_sites_count,-0.013556519917584308
AA-17,11,US,490,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,103,139,2368,140,23.18,146,0.63,27,US,462,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,141,141,13.59,1.29,0.86,0.34,30.73,8.16,1.73,29.02,1.295,17.47,29.74,16.36,0,0,,,42,1,0,0,0,0,1,0,0,0,0,0,132,130,0,0,0,32,3730.04,522.09,32,3730.04,522.09,3,722.87,243.78,33,2,1685.32,534.71,0.04,1,0.0,0,0.0,0,100.0,1,0.0,0,2.61,21.91,56.26,2.52,19.3,5,68.6,27,17,0,,,1,0,34.16001190642422,-118.33130509559793,reconstructed,0.5892878495994941,total_population,hospital_count,0.04710914382277238
AA-21,7,US,413,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,105,152,2435,114,15.61,150,0.57,0,US,308,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,156,153,10.16,0.89,2.29,0.0,16.25,8.83,2.06,10.62,1.295,17.47,29.74,16.36,0,0,,,10,0,0,0,0,0,1,0,0,0,0,2,419,437,0,0,0,39,4955.83,392.4,25,4005.89,392.4,1,763.72,408.03,4,2,2183.8,434.58,5.39,1,4.1,1,1.3,1,100.0,1,0.0,0,12.01,60.82,18.76,2.54,17.88,3,39.53,27,21,1,34.10854384,-118.33077298,1,1,34.1160042074664,-118.3312289940092,detection_avg,0.6013364548359642,business_sites_count,dominant_landcover_class,-0.09750917944423476
AA-22,44,US,399,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,108,209,11373,136,25.71,69,2.62,25,US,495,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,74,72,13.5,2.17,4.94,3.15,32.08,17.34,9.21,20.23,1.295,17.47,29.74,16.36,0,0,,,98,0,0,1,2,0,1,2,2,0,0,0,2223,2351,0,4,2,52,3991.29,436.02,28,3157.99,436.02,0,0.0,1623.41,61,2,1389.16,488.75,1.03,1,0.0,0,1.02,1,100.0,1,0.0,0,1.84,13.7,71.99,1.05,13.26,5,79.84,27,22,1,34.1032474525,-118.3305857825,1,1,34.10500228272694,-118.33120996861204,detection_avg,0.7018313744527463,recreation_center_count,business_sites_count,0.06277623151178643
AA-23,6,US,380,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,136,207,10394,138,41.23,85,1.93,19,US,457,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,84,82,12.66,1.64,6.37,6.29,29.83,17.46,3.36,16.8,1.295,17.47,29.74,16.36,0,0,,,27,0,1,0,1,0,5,1,1,0,0,0,1344,1367,1,2,2,28,1381.81,94.39,0,0.0,1503.53,0,0.0,1123.49,16,2,2606.23,94.89,26.84,1,0.0,0,26.75,1,100.0,1,0.0,0,1.14,12.09,74.76,1.49,11.66,5,81.99,27,23,1,34.09236974,-118.32752816,5,1,34.09400035798749,-118.33119094321486,detection_avg,0.6849876134586044,recreation_center_count,business_sites_count,0.04152832740968583
AA-24,12,US,360,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,92,157,4092,179,14.39,137,1.49,8,US,413,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,139,140,8.84,1.0,3.9,1.57,38.3,13.14,3.35,11.38,1.295,17.47,29.74,16.36,0,0,,,29,0,0,1,0,0,2,0,0,0,0,0,685,722,0,0,0,0,0.0,1128.52,0,0.0,2381.24,3,1082.64,126.1,8,0,0.0,1128.04,31.31,1,0.0,0,29.98,1,100.0,1,0.0,0,5.09,39.51,39.95,1.93,18.61,5,56.44,27,24,1,34.08517571,-118.33379302,2,1,34.08299843324804,-118.33117191781768,detection_avg,0.6224701380682802,hospital_count,business_sites_count,0.00967499942491475
AA-25,19,US,339,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,48,101,1286,117,9.25,253,3.3,0,US,370,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,421,395,4.45,2.71,3.62,0.46,47.62,3.9,1.07,17.77,1.295,17.47,29.74,16.36,0,0,,,21,0,0,0,0,0,2,0,0,0,0,0,149,163,0,0,3,0,0.0,840.79,0,0.0,3177.41,3,940.04,41.49,0,0,0.0,2350.96,6.37,1,0.0,0,2.94,1,100.0,1,0.0,0,9.37,44.63,32.93,2.92,19.52,5,50.24,27,25,0,,,2,0,34.07199650850858,-118.33115289242052,reconstructed,0.5255525038296445,total_population,hospital_count,0.024735382156124693
AA-26,30,US,319,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,73,99,3477,74,22.63,161,2.32,44,US,331,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,209,212,15.14,2.43,3.19,4.29,28.08,5.85,4.21,13.23,1.295,17.47,29.74,16.36,0,0,,,29,0,0,1,0,2,1,0,0,0,0,0,567,559,0,0,3,48,2094.93,246.17,0,0.0,2538.0,0,0.0,1170.1,0,0,0.0,2571.76,4.11,1,0.0,0,1.29,1,100.0,1,0.0,0,7.29,35.82,41.0,2.46,20.72,5,56.51,27,26,0,,,3,0,34.06099458376913,-118.33113386702334,reconstructed,0.578040477874611,pct_below_poverty,affordable_housing_count,-0.0068596577952245085
