GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,total_crime_est,total_population,burglary_crime_est,unemployment_rate_idx,pct_hispanic,pct_veterans,median_income_idx,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,pct_household_disability,pct_public_assistance,pct_below_poverty,pct_severe_rent_burden,pct_no_schooling,pct_no_health_insurance,pct_veterans_2,pct_hs_grad,esri_market_idx_14068,esri_market_idx_14068_forecast,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score,colnum,row,Join_Count,latitude,longitude,school_count,tent_present,centroid_lat,centroid_lon,centroid_source,baseline_risk,2024 Total Crime Index,2024 Total Population,2024 Unemployment Rate: Index,2023 HHs w/1+ Persons w/Disability (ACS 5-Yr): Percent,2023 HHs w/Public Assist Income (ACS 5-Yr): Percent,2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent,2023 HHs/Gross Rent 50+% of Income (ACS 5-Yr): Percent,2023 Pop 25+: No Schooling (ACS 5-Yr): Percent,2023 Pop 35-64: No Health Insurance (ACS 5-Yr): Percent,2023 Civilian Pop 18+: Veteran (ACS 5-Yr): Percent,2023 Pop 25+: HS Diploma (ACS 5-Yr): Percent,2030 Value of Credit Card Debt: Index,top_interaction_a,top_interaction_b,top_interaction_val
A-16,14,US,1115,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,56,1928,54,76,20.44,4.94,139,14,US,1115,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,36.56,4.09,11.05,64.34,2.11,1.59,5.64,8.36,126,128,0.6475,17.47,29.74,16.36,0,0,,,3,0,0,0,0,0,0,0,0,0,0,0,122,125,0,0,0,0,0.0,785.51,0,0.0,4933.06,3,1160.75,376.57,0,0,0.0,2189.12,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.89,17.5,55.06,4.46,22.98,5,67.97,1,16,0,,,0,0,34.21450831776751,-118.62958236613066,reconstructed,0.5254362266185093,56,1928,76,36.56,4.09,11.05,64.34,2.11,1.59,4.94,8.36,128,total_crime_est,police_station_count,0.00261424136846141
A-17,29,US,1080,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,60,1269,69,117,20.09,3.26,198,29,US,1080,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.97,1.79,4.89,34.04,1.65,1.12,3.11,17.91,158,158,0.6475,17.47,29.74,16.36,0,0,,,46,1,0,0,0,0,0,0,0,0,0,0,237,265,0,0,0,0,0.0,1650.31,0,0.0,4165.5,3,1044.79,21.74,9,0,0.0,2189.35,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.77,24.03,50.71,6.71,18.55,5,64.97,1,17,0,,,0,0,34.20672281935891,-118.62957472698812,reconstructed,0.5363823707099544,60,1269,117,20.97,1.79,4.89,34.04,1.65,1.12,3.26,17.91,158,2023 Pop 35-64: No Health Insurance (ACS 5-Yr): Percent,hospital_count,-0.007533440302426326
AA-10,22,US,1323,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,142,2775,156,79,94.63,2.23,108,22,US,1323,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,42.1,5.16,11.75,24.44,15.59,2.96,2.6,22.75,96,102,0.6475,17.47,29.74,16.36,0,0,,,18,0,0,0,0,0,0,0,0,0,0,0,247,221,0,0,0,4,718.86,257.16,0,0.0,1222.52,0,0.0,1658.79,1,0,0.0,1319.39,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.75,16.15,61.17,3.09,19.59,5,71.99,27,10,1,34.2626879275,-118.42025282,0,1,34.26104414208397,-118.4188268622568,detection_avg,0.5943193839310768,142,2775,79,42.1,5.16,11.75,24.44,15.59,2.96,2.23,22.75,102,total_population,police_station_count,-0.0026334365924241825
AA-11,43,US,1294,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,122,3388,140,64,93.68,0.42,106,43,US,1294,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,39.11,17.88,22.46,42.94,15.75,4.68,0.71,14.68,86,87,0.6475,17.47,29.74,16.36,0,0,,,12,0,0,0,0,1,0,0,0,0,0,0,181,164,0,0,4,14,1092.36,321.26,0,0.0,717.7,0,0.0,1154.72,1,0,0.0,749.37,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,3.89,19.08,60.78,5.65,14.49,5,71.38,27,11,0,,,1,0,34.253258643675366,-118.41881922311428,reconstructed,0.604995661169305,122,3388,64,39.11,17.88,22.46,42.94,15.75,4.68,0.42,14.68,87,pct_below_poverty,lausd_school_site_count,0.00878937615673678
AA-12,15,US,1266,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,136,2650,144,155,89.13,0.95,97,15,US,1266,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.79,6.21,17.97,22.17,7.53,6.83,0.9,26.99,80,83,0.6475,17.47,29.74,16.36,0,0,,,24,0,0,0,0,1,1,0,0,0,0,0,178,178,0,0,4,61,5458.68,152.87,30,3797.23,152.87,0,0.0,818.4,4,2,1606.2,179.3,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.88,15.22,69.03,3.72,12.04,5,78.06,27,12,1,34.24647884,-118.42167378,2,1,34.245473145266764,-118.41881158397172,detection_avg,0.6634322553002835,136,2650,155,37.79,6.21,17.97,22.17,7.53,6.83,0.95,26.99,83,pct_below_poverty,lausd_school_site_count,0.009708094008252012
AA-13,39,US,1240,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,92,2726,112,86,77.99,2.49,122,39,US,1240,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,28.87,2.62,10.59,35.71,10.07,5.3,2.95,21.99,102,106,0.6475,17.47,29.74,16.36,0,0,,,6,0,0,0,0,0,0,0,0,0,0,0,146,133,0,0,0,26,2857.64,346.03,26,2857.64,346.03,1,728.19,248.73,0,2,1013.0,372.76,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.06,19.07,56.87,4.47,19.59,5,69.19,27,13,0,,,0,0,34.23768764685816,-118.4188039448292,reconstructed,0.5761741608534615,92,2726,86,28.87,2.62,10.59,35.71,10.07,5.3,2.49,21.99,106,total_population,police_station_count,-0.0026509445480500725
AA-14,6,US,1207,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,82,1745,111,62,60.29,3.83,141,6,US,1207,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,36.97,4.27,6.64,31.82,4.12,2.86,3.78,21.32,128,132,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,95,101,0,0,0,0,0.0,585.07,0,0.0,585.07,10,2575.37,69.82,0,0,0.0,709.14,2.83,1,2.84,1,0.0,0,100.0,1,0.0,0,0.53,18.17,36.86,1.23,43.74,4,55.64,27,14,0,,,0,0,34.229902148449554,-118.41879630568668,reconstructed,0.5354645238029645,82,1745,62,36.97,4.27,6.64,31.82,4.12,2.86,3.83,21.32,132,pct_below_poverty,la_geohub_100yr_flood_intersects,0.010709871680966722
AA-15,24,US,1175,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,144,1680,134,57,40.18,1.57,129,24,US,1175,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.52,5.19,5.17,33.67,2.29,3.38,0.85,30.98,129,136,0.6475,17.47,29.74,16.36,0,0,,,36,0,0,0,0,0,0,0,0,0,0,1,180,185,0,0,0,8,815.42,158.33,0,0.0,643.96,1,371.69,401.09,3,0,0.0,777.94,2.96,1,3.0,1,0.0,0,100.0,1,0.0,0,0.86,13.89,52.66,2.06,31.39,5,66.6,27,15,0,,,0,0,34.222116650040945,-118.41878866654412,reconstructed,0.5903713407011801,144,1680,57,20.52,5.19,5.17,33.67,2.29,3.38,1.57,30.98,136,pct_below_poverty,la_geohub_100yr_flood_intersects,0.006185319391295179
AA-16,40,US,1141,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,201,2272,147,195,35.21,0.42,104,40,US,1141,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,42.1,3.74,13.63,50.88,2.19,4.0,0.46,26.98,102,106,0.6475,17.47,29.74,16.36,0,0,,,6,0,0,0,0,0,0,0,0,0,0,4,174,166,0,0,3,0,0.0,969.37,0,0.0,969.37,0,0.0,602.07,0,0,0.0,967.89,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.06,15.72,53.89,6.71,23.67,5,67.4,27,16,0,,,0,0,34.214331151632344,-118.4187810274016,reconstructed,0.5728482296154412,201,2272,195,42.1,3.74,13.63,50.88,2.19,4.0,0.42,26.98,106,total_crime_est,affordable_housing_count,-0.00407939378943378
AA-17,5,US,1106,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,222,527,146,260,35.29,0.36,93,5,US,1106,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,47.16,5.11,17.53,54.17,2.29,5.36,0.56,24.17,84,87,0.6475,17.47,29.74,16.36,0,0,,,27,0,0,0,0,0,0,0,0,0,0,0,570,526,0,0,0,8,557.3,382.03,0,0.0,1157.37,0,0.0,803.54,5,0,0.0,1158.15,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.0,1.03,92.45,1.37,5.15,5,94.72,27,17,1,34.20401752,-118.41910739,0,1,34.206545653223735,-118.41877338825908,detection_avg,0.6043306520292918,222,527,260,47.16,5.11,17.53,54.17,2.29,5.36,0.36,24.17,87,total_population,police_station_count,0.005577812194165587
