GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,burglary_crime_est,total_crime_est,total_population,unemployment_rate_idx,pct_hispanic,median_income_idx,pct_veterans,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,pct_household_disability,pct_public_assistance,pct_severe_rent_burden,pct_no_schooling,pct_no_health_insurance,pct_veterans_2,pct_hs_grad,ACSHHPBLPV_P,esri_market_idx_14068,esri_market_idx_14068_forecast,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score,colnum,row,Join_Count,latitude,longitude,school_count,tent_present,centroid_lat,centroid_lon,centroid_source,baseline_risk,top_interaction_a,top_interaction_b,top_interaction_val
A-10,31,US,403,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,66,59,4621,126,19.56,195,3.56,37,US,532,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,24.0,2.53,40.25,2.0,1.48,3.59,15.62,5.27,152,152,1.9425,17.47,29.74,16.36,0,0,,,74,1,0,0,0,1,1,0,0,0,0,0,540,560,0,0,1,0,0.0,1576.05,0,0.0,4229.94,7,2282.39,52.53,11,0,0.0,2189.33,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.89,24.15,51.18,4.85,19.82,5.0,64.96,1,10,0,,,2,0,34.208810296750165,-118.62919330729268,reconstructed,0.5547482775513166,total_population,affordable_housing_count,0.01027081707504445
A-9,13,US,424,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,73,81,3299,64,20.67,154,4.46,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,26.77,3.17,54.94,2.2,1.06,3.89,10.46,14.26,129,132,1.9425,17.47,29.74,16.36,0,0,,,10,0,1,0,0,1,0,0,0,0,0,0,303,308,0,0,1,20,1636.49,78.13,0,0.0,5360.94,17,3194.77,110.05,0,0,0.0,2189.2,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,3.94,22.84,52.44,5.59,19.13,5.0,65.53,1,9,0,,,1,0,34.222297204938066,-118.62918643353018,reconstructed,0.5716192076148676,total_population,affordable_housing_count,0.01326926789877372
AA-14,15,US,337,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,83,97,18000,186,17.97,100,1.44,16,US,466,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,24.42,3.59,37.59,3.62,5.21,1.22,19.97,19.34,97,98,1.9425,17.47,29.74,16.36,0,0,,,39,0,0,1,0,1,2,1,0,0,0,2,306,339,0,0,0,56,7168.32,506.8,50,6887.1,506.8,1,89.12,836.4,22,2,2377.64,538.69,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.68,15.24,64.6,1.56,18.6,5.0,74.72,27,14,0,,,3,0,34.15439442412163,-118.26453738681862,reconstructed,0.6287005254954634,total_population,police_station_count,-0.02495595716033835
AA-15,41,US,313,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,101,10199,152,36.15,85,1.28,35,US,442,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,27.82,2.75,34.8,8.23,7.61,1.41,24.53,13.79,80,82,1.9425,17.47,29.74,16.36,0,0,,,57,0,1,0,0,4,0,1,1,0,0,0,377,360,0,2,0,77,4065.07,108.03,11,1059.18,505.34,0,0.0,910.43,9,2,682.59,562.26,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.77,14.89,65.74,2.18,17.19,5.0,75.49,27,15,0,,,4,0,34.140907515933726,-118.26454426058112,reconstructed,0.6350390324129351,total_population,affordable_housing_count,-0.014268248463777286
AA-16,27,US,299,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,132,157,5047,93,30.67,158,2.24,18,US,428,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,13.42,6.86,22.32,0.76,2.73,1.94,13.75,6.54,132,133,1.9425,17.47,29.74,16.36,0,0,,,48,1,0,1,0,1,1,0,0,0,0,0,979,1024,0,1,2,118,7409.86,150.48,17,2355.46,694.11,3,1126.07,640.22,31,2,633.31,758.17,6.38,1,6.39,1,0.0,0,100.0,1,0.0,0,1.68,17.26,59.29,4.57,18.88,5.0,71.0,27,16,0,,,2,0,34.12742060774582,-118.26455113434362,reconstructed,0.6592130206456855,pct_public_assistance,la_geohub_100yr_flood_intersects,-0.015471770964356103
AA-17,17,US,289,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,106,121,6029,160,28.21,158,2.85,3,US,418,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,21.99,4.86,22.22,2.36,3.53,2.77,9.83,8.04,146,147,1.9425,17.47,29.74,16.36,0,0,,,12,0,1,0,0,1,0,1,2,0,0,1,1224,1264,0,1,1,45,6532.73,14.25,26,5074.23,14.25,8,1750.39,120.53,15,2,3158.08,17.47,10.63,1,10.63,1,0.0,0,100.0,1,0.0,0,5.89,30.17,44.61,4.18,21.04,5.0,59.46,27,17,1,34.113025785000005,-118.261895235,1,1,34.11393369955791,-118.26455800810614,detection_avg,0.6566616615755306,business_sites_count,la_geohub_100yr_flood_area_pct,-0.02525066756788703
AA-18,3,US,275,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,107,115,4743,98,17.96,191,5.46,32,US,404,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,13.47,3.06,14.81,0.62,1.44,5.14,8.29,7.87,170,166,1.9425,17.47,29.74,16.36,0,0,,,0,0,0,1,0,0,1,2,0,0,0,0,838,862,0,0,0,2,98.51,769.2,1,59.84,769.2,0,0.0,1409.13,7,0,0.0,811.22,16.45,1,16.45,1,0.0,0,100.0,1,0.0,0,9.39,38.96,27.65,17.8,15.59,5.0,46.54,27,18,0,,,1,0,34.100446791370004,-118.26456488186864,reconstructed,0.5983253606119733,business_sites_count,water_proxy_pct,0.026950110728297786
AA-19,36,US,258,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,152,146,9343,114,43.36,125,1.0,15,US,387,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,11.55,7.04,28.47,4.18,5.45,1.0,10.18,11.9,118,117,1.9425,17.47,29.74,16.36,0,0,,,96,0,1,1,0,1,0,0,1,0,0,1,1559,1583,0,2,3,82,4931.99,357.54,1,96.76,779.33,0,0.0,2603.89,33,2,3101.98,358.08,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,6.84,31.42,48.12,2.78,17.68,5.0,61.63,27,19,1,34.081836585000005,-118.2608833,1,1,34.086959883182104,-118.26457175563114,detection_avg,0.6679847523387825,business_sites_count,food_access_count,0.024329720242739192
AA-20,19,US,241,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,120,121,15952,117,60.39,86,1.15,48,US,370,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,21.29,5.4,26.84,5.07,5.81,1.04,13.92,18.33,84,85,1.9425,17.47,29.74,16.36,0,0,,,75,2,0,1,0,3,2,2,0,0,0,1,1569,1564,0,5,8,111,9202.55,42.97,49,5003.02,42.97,0,0.0,2366.86,14,4,4227.75,44.02,3.0,1,3.0,1,0.0,0,100.0,1,0.0,0,3.42,22.7,55.72,3.95,17.63,5.0,67.98,27,20,1,34.06747817666667,-118.26794314111112,5,1,34.0734729749942,-118.26457862939364,detection_avg,0.7085409465431984,business_sites_count,la_geohub_100yr_flood_area_pct,0.0747161573913647
AA-21,1,US,223,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,90,139,30217,98,67.54,60,1.32,30,US,352,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,22.47,8.07,33.95,6.93,9.67,1.02,16.59,39.06,62,62,1.9425,17.47,29.74,16.36,0,0,,,139,1,0,0,2,16,0,0,1,0,0,0,2445,2512,1,4,25,145,11042.85,398.26,75,7102.81,600.4,0,0.0,2793.52,18,2,2208.43,638.97,1.05,1,0.0,0,0.27,1,100.0,1,0.0,0,0.98,12.34,71.09,1.97,14.6,5.0,79.47,27,21,1,34.05535884555555,-118.26717101155556,16,1,34.05998606680629,-118.26458550315616,detection_avg,0.7145254083116854,college_count,business_sites_count,0.01614283511873715
