OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,CRMCYTOTC,TOTPOP_CY,CRMCYBURG,UNEMPRT_CY_I,HISPPOP_CY_P,ACSVET_P,MEDHINC_CY_I,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,ACSHHDIS_P,ACSPUBAI_P,ACSBLWPV_P,ACSGRNTI50_P,ACSEDNOSCH_P,ACS35NOHI_P,ACSVET_P_1,ACSHSGRAD_P,X14068_X_I,X14068FY_X_I,source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score
1,0,1,-1,AP-81,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,58,303,99,33,31.68,11.48,135,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.56,3.74,9.72,45.16,3.11,1.74,13.17,23.56,113,116,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0,0,0,0,0.0,1324.96,0,0.0,4065.36,0,0.0,682.63,8,0,0.0,2067.05,0.0,0,0.0,0,0.53,1,60.3,1,0.0,0,1.8,46.13,22.68,1.29,29.9,3,45.34
2,1,2,1522,AQ-81,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,39,1316,94,112,36.02,3.69,116,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,19.34,0.0,3.03,21.25,0.0,2.27,4.38,13.3,129,132,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.70622287,-118.28897388,"540 W PASEO DEL MAR, 90731",90.0,33.7062228729_-118.288973882_90.jpg,1.0,0.852,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,0,0.0,1770.4,0,0.0,4481.4,0,0.0,643.85,7,0,0.0,2903.94,0.0,0,0.0,0,0.54,1,47.4,1,0.0,0,1.25,33.86,35.74,1.88,28.53,5,54.64
3,1,2,1524,AQ-81,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,39,1316,94,112,36.02,3.69,116,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,19.34,0.0,3.03,21.25,0.0,2.27,4.38,13.3,129,132,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.70622287,-118.28897388,"540 W PASEO DEL MAR, 90731",270.0,33.7062228729_-118.288973882_270.jpg,1.0,0.8591,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,0,0.0,1770.4,0,0.0,4481.4,0,0.0,643.85,7,0,0.0,2903.94,0.0,0,0.0,0,0.54,1,47.4,1,0.0,0,1.25,33.86,35.74,1.88,28.53,5,54.64
4,0,3,-1,AR-81,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,56,21,42,0,38.1,14.29,76,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0.0,0.0,0.0,0.0,0.0,0.0,14.29,12.5,149,138,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0.0,1695.88,0,0.0,4171.73,0,0.0,835.71,0,0,0.0,3259.46,0.0,0,0.0,0,2.54,1,19.6,1,0.0,0,0.23,7.71,14.72,55.37,22.2,6,40.24
5,0,4,-1,AP-80,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,52,2038,97,93,39.65,6.2,118,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,14.85,4.2,8.57,32.46,2.68,1.51,8.7,17.64,106,111,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,99,96,0,0,6,0,0.0,460.57,0,0.0,3207.86,0,0.0,926.28,0,0,0.0,1529.92,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.95,28.77,45.29,1.07,24.87,5,61.12
6,0,5,-1,AQ-80,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,36,2417,75,31,33.47,7.97,127,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.89,0.89,11.6,24.36,0.72,5.6,6.78,20.03,107,112,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,2,0,0,0,136,139,0,0,1,0,0.0,935.96,0,0.0,3619.25,1,38.07,231.35,0,0,0.0,2394.68,0.0,0,0.0,0,1.44,1,99.32,1,0.0,0,2.6,25.26,46.54,2.42,25.78,5,61.8
7,0,6,-1,AR-80,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,16,639,22,129,30.67,23.83,132,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,6.21,0.0,0.0,25.0,0.0,0.0,14.86,13.1,116,114,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0.0,1154.62,0,0.0,3341.65,0,0.0,1041.45,0,0,0.0,2922.85,0.0,0,0.0,0,5.9,1,71.9,1,0.0,0,0.36,9.27,45.45,34.76,10.52,5,61.71
8,0,7,-1,AP-79,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,71,4268,105,69,51.05,2.28,109,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.73,4.97,11.89,26.06,0.93,5.28,2.36,26.1,92,92,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,1,264,271,0,0,2,7,725.54,403.82,0,0.0,2355.44,0,0.0,1021.04,1,0,0.0,1300.76,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.21,15.22,73.7,1.04,10.03,5,81.23
9,0,8,-1,AQ-79,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,62,3823,101,83,48.5,6.32,95,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,21.96,2.82,12.52,22.15,1.02,3.63,6.46,21.61,81,83,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,9,0,0,0,0,0,0,0,0,0,0,0,231,236,0,0,0,7,491.74,308.97,0,0.0,2758.53,0,0.0,1089.49,1,0,0.0,2093.85,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.71,22.95,51.78,1.07,24.2,5,66.03
10,0,9,-1,AR-79,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,87,591,88,90,59.73,6.27,91,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,13.24,11.76,23.11,34.57,0.77,3.66,6.54,19.44,133,134,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,74,67,0,0,0,0,0.0,1054.47,0,0.0,2534.62,0,0.0,1448.21,4,0,0.0,2591.4,0.97,1,0.0,0,25.23,1,100.0,1,0.0,0,0.52,20.9,54.75,6.56,17.79,5,68.17
11,0,10,-1,AN-78,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,25,1041,56,43,27.38,3.46,237,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,10.89,0.0,10.09,52.88,1.04,0.09,1.92,19.53,166,165,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,65,53,0,0,0,8,1842.44,211.04,0,0.0,2431.53,2,123.93,359.24,0,2,1845.49,210.69,0.0,0,0.0,0,0.14,1,100.0,1,0.0,0,5.51,38.54,31.26,2.49,27.71,5,50.23
12,0,11,-1,AO-78,10,US,11,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31,2307,65,26,37.75,5.47,164,10,US,11,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,16.76,0.44,6.11,24.66,1.95,0.51,6.41,22.46,135,136,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,106,108,0,0,0,0,0.0,589.34,0,0.0,2232.12,0,0.0,484.56,0,0,0.0,588.81,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.49,23.49,56.23,0.71,19.57,5,68.61
13,1,12,664,AP-78,11,US,12,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,77,3867,104,164,56.58,3.05,91,11,US,12,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,18.33,8.46,15.58,42.75,2.41,5.7,3.34,21.06,86,89,api_test_workflow_v2_remaining_model6_2026-05-08,33.73320591,-118.29608552,"865 W 12TH ST, 90731",0.0,33.7332059136_-118.296085521_0.jpg,1.0,0.8994,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,289,294,0,0,5,3,178.66,447.72,0,0.0,1516.67,1,110.28,404.16,1,0,0.0,1436.71,0.39,1,0.0,0,0.0,0,100.0,1,0.0,0,3.74,17.08,69.4,1.25,12.28,5,77.46
14,1,12,1581,AP-78,11,US,12,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,77,3867,104,164,56.58,3.05,91,11,US,12,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,18.33,8.46,15.58,42.75,2.41,5.7,3.34,21.06,86,89,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.7334595,-118.29448328,"1186 S CABRILLO AVE, 90731",270.0,33.733459505_-118.294483284_270.jpg,1.0,0.873,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,289,294,0,0,5,3,178.66,447.72,0,0.0,1516.67,1,110.28,404.16,1,0,0.0,1436.71,0.39,1,0.0,0,0.0,0,100.0,1,0.0,0,3.74,17.08,69.4,1.25,12.28,5,77.46
15,0,13,-1,AQ-78,12,US,13,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,108,5821,118,136,68.58,2.32,79,12,US,13,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,26.66,10.2,18.89,31.3,2.18,9.72,2.4,21.41,79,82,,,,,,,,,,0.6475,17.47,29.74,16.36,0,0,,,24,0,1,0,0,1,0,0,0,0,0,0,430,401,0,0,1,7,678.56,302.5,0,0.0,1901.17,0,0.0,1181.52,3,0,0.0,1964.31,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.36,9.43,67.44,0.71,22.42,5,77.1
16,1,14,849,AR-78,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,98,3433,117,181,67.46,3.8,63,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.93,10.53,28.5,30.6,2.34,7.41,3.14,23.1,69,73,api_test_workflow_v2_10pct_model6_2026-05-06_live,33.72937487,-118.27971855,"1600 S HARBOR BLVD, 90731",270.0,33.7293748714_-118.27971855_270.jpg,1.0,0.6501,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,7,213,194,0,0,0,0,0.0,1050.34,0,0.0,1771.42,0,0.0,1084.53,0,0,0.0,1770.7,6.53,1,0.0,0,19.02,1,95.25,1,0.0,0,1.6,14.44,58.47,5.17,21.93,5,70.45
17,1,14,1236,AR-78,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,98,3433,117,181,67.46,3.8,63,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.93,10.53,28.5,30.6,2.34,7.41,3.14,23.1,69,73,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.72984604,-118.27788594,"1500 S HARBOR BLVD, 90731",0.0,33.729846039_-118.277885937_0.jpg,1.0,0.7871,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,7,213,194,0,0,0,0,0.0,1050.34,0,0.0,1771.42,0,0.0,1084.53,0,0,0.0,1770.7,6.53,1,0.0,0,19.02,1,95.25,1,0.0,0,1.6,14.44,58.47,5.17,21.93,5,70.45
18,1,14,1237,AR-78,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,98,3433,117,181,67.46,3.8,63,13,US,14,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.93,10.53,28.5,30.6,2.34,7.41,3.14,23.1,69,73,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.72984604,-118.27788594,"1500 S HARBOR BLVD, 90731",90.0,33.729846039_-118.277885937_90.jpg,1.0,0.8228,tent,0.6475,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,7,213,194,0,0,0,0,0.0,1050.34,0,0.0,1771.42,0,0.0,1084.53,0,0,0.0,1770.7,6.53,1,0.0,0,19.02,1,95.25,1,0.0,0,1.6,14.44,58.47,5.17,21.93,5,70.45
