OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,CRMCYBURG,CRMCYTOTC,TOTPOP_CY,UNEMPRT_CY_I,HISPPOP_CY_P,MEDHINC_CY_I,ACSVET_P,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,ACSHHDIS_P,ACSPUBAI_P,ACSGRNTI50_P,ACSEDNOSCH_P,ACS35NOHI_P,ACSVET_P_1,ACSHSGRAD_P,ACSHHPBLPV_P,X14068_X_I,X14068FY_X_I,source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score
1,0,1,-1,I-10,0,US,411,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,89,85,8099,45,49.92,118,2.89,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,23.57,2.12,25.67,5.37,4.36,1.96,14.08,9.85,104,106,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,57,0,0,0,0,1,1,0,0,0,0,2,751,747,0,0,2,43,3904.06,128.42,0,0.0,3741.23,1,1497.94,125.49,9,0,0.0,3769.86,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.7,20.34,52.62,6.47,20.58,5,66.02
2,0,2,-1,J-10,1,US,412,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,81,4856,183,50.1,127,4.93,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,27.55,5.52,45.61,5.36,6.72,5.49,13.13,17.26,117,121,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,33,0,0,0,0,0,0,0,0,0,0,2,721,771,0,0,2,17,1509.1,183.97,0,0.0,2738.78,5,1477.09,531.83,8,0,0.0,2739.94,0.0,0,1.58,1,0.0,0,100.0,1,0.0,0,3.41,17.48,62.44,4.05,16.03,5,72.68
3,0,3,-1,K-10,2,US,413,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,118,140,3794,181,59.44,90,3.31,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,26.49,3.74,44.53,6.95,5.47,2.55,22.02,19.31,77,80,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,63,0,0,0,0,0,0,0,1,0,0,1,938,860,0,0,1,59,3716.36,450.59,0,0.0,1333.51,7,587.68,427.2,10,0,0.0,1436.42,0.0,0,0.46,1,0.0,0,100.0,1,0.0,0,0.47,12.06,72.47,2.41,13.06,5,80.59
4,1,4,1186,L-10,3,US,414,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,116,158,3377,148,68.02,97,3.51,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,15.89,3.46,19.13,8.41,3.53,3.18,18.91,8.82,83,84,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,34.21786497,-118.47477398,"8100 N HASKELL AVE, 91406",180.0,34.2178649665_-118.474773982_180.jpg,1.0,0.8036,tent,1.9425,17.47,29.74,16.36,0,0,,,24,0,0,0,0,1,0,0,0,0,0,2,854,840,0,0,2,35,6437.36,145.35,27,6025.38,145.35,0,0.0,1547.91,1,2,2996.03,146.51,0.64,1,0.0,0,0.0,0,100.0,1,0.0,0,1.04,8.8,75.93,3.24,12.04,5,82.84
5,1,4,1724,L-10,3,US,414,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,116,158,3377,148,68.02,97,3.51,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,15.89,3.46,19.13,8.41,3.53,3.18,18.91,8.82,83,84,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,34.21714756,-118.47480668,"8048 N HASKELL AVE, 91406",270.0,34.2171475615_-118.474806677_270.jpg,2.0,0.7615,tent,1.9425,17.47,29.74,16.36,0,0,,,24,0,0,0,0,1,0,0,0,0,0,2,854,840,0,0,2,35,6437.36,145.35,27,6025.38,145.35,0,0.0,1547.91,1,2,2996.03,146.51,0.64,1,0.0,0,0.0,0,100.0,1,0.0,0,1.04,8.8,75.93,3.24,12.04,5,82.84
6,1,5,123,M-10,4,US,415,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,119,10302,169,50.68,81,1.32,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,24.04,4.15,38.71,4.08,3.63,2.75,18.46,16.09,89,96,api_test_workflow_v2_remaining_model6_2026-05-08,34.19957942,-118.46604241,"7108 N SEPULVEDA BLVD, 91405",270.0,34.1995794198_-118.46604241_270.jpg,1.0,0.6938,tent,1.9425,17.47,29.74,16.36,0,0,,,54,0,0,0,1,1,1,0,0,0,0,1,1170,1240,0,0,7,55,3757.13,449.03,0,0.0,1091.86,1,530.36,717.15,11,0,0.0,1135.63,0.58,1,0.0,0,0.0,0,100.0,1,0.0,0,1.59,16.35,63.29,3.35,17.0,5,73.83
7,1,5,767,M-10,4,US,415,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,119,10302,169,50.68,81,1.32,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,24.04,4.15,38.71,4.08,3.63,2.75,18.46,16.09,89,96,api_test_workflow_v2_30pct_model6_2026-05-08,34.20013655,-118.46603739,"7134 N SEPULVEDA BLVD, 91405",270.0,34.200136553_-118.466037391_270.jpg,1.0,0.811,tent,1.9425,17.47,29.74,16.36,0,0,,,54,0,0,0,1,1,1,0,0,0,0,1,1170,1240,0,0,7,55,3757.13,449.03,0,0.0,1091.86,1,530.36,717.15,11,0,0.0,1135.63,0.58,1,0.0,0,0.0,0,100.0,1,0.0,0,1.59,16.35,63.29,3.35,17.0,5,73.83
8,1,6,139,N-10,5,US,416,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,97,114,6425,195,73.67,76,1.22,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.76,7.75,29.79,6.93,7.52,1.41,22.77,20.79,76,80,api_test_workflow_v2_remaining_model6_2026-05-08,34.20670396,-118.44766899,"14435 W COHASSET ST, 91405",0.0,34.2067039605_-118.447668986_0.jpg,1.0,0.7685,tent,1.9425,17.47,29.74,16.36,0,0,,,75,0,1,0,0,2,0,0,0,0,0,3,901,893,0,0,6,33,2996.05,170.26,0,0.0,2425.58,6,1516.66,239.89,14,0,0.0,2425.57,0.75,1,0.0,0,0.0,0,100.0,1,0.0,0,1.85,9.77,75.32,2.08,12.83,5,82.17
9,1,6,441,N-10,5,US,416,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,97,114,6425,195,73.67,76,1.22,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.76,7.75,29.79,6.93,7.52,1.41,22.77,20.79,76,80,api_test_workflow_v2_20pct_model6_2026-05-07,34.21079875,-118.44931066,"14485 W RAYMER ST, 91405",270.0,34.2107987472_-118.449310663_270.jpg,1.0,0.8799,tent,1.9425,17.47,29.74,16.36,0,0,,,75,0,1,0,0,2,0,0,0,0,0,3,901,893,0,0,6,33,2996.05,170.26,0,0.0,2425.58,6,1516.66,239.89,14,0,0.0,2425.57,0.75,1,0.0,0,0.0,0,100.0,1,0.0,0,1.85,9.77,75.32,2.08,12.83,5,82.17
10,1,6,725,N-10,5,US,416,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,97,114,6425,195,73.67,76,1.22,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.76,7.75,29.79,6.93,7.52,1.41,22.77,20.79,76,80,api_test_workflow_v2_30pct_model6_2026-05-08,34.20533475,-118.44900753,"7411 N VAN NUYS BLVD, 91405",0.0,34.2053347502_-118.44900753_0.jpg,1.0,0.679,tent,1.9425,17.47,29.74,16.36,0,0,,,75,0,1,0,0,2,0,0,0,0,0,3,901,893,0,0,6,33,2996.05,170.26,0,0.0,2425.58,6,1516.66,239.89,14,0,0.0,2425.57,0.75,1,0.0,0,0.0,0,100.0,1,0.0,0,1.85,9.77,75.32,2.08,12.83,5,82.17
11,1,6,1501,N-10,5,US,416,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,97,114,6425,195,73.67,76,1.22,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.76,7.75,29.79,6.93,7.52,1.41,22.77,20.79,76,80,api_test_workflow_v8_remaining_location_deduped_10pct_2026-05-22,34.21123616,-118.4493044,"14505 W RAYMER ST, 91405",0.0,34.21123616_-118.449304399_0.jpg,2.0,0.8849,tent,1.9425,17.47,29.74,16.36,0,0,,,75,0,1,0,0,2,0,0,0,0,0,3,901,893,0,0,6,33,2996.05,170.26,0,0.0,2425.58,6,1516.66,239.89,14,0,0.0,2425.57,0.75,1,0.0,0,0.0,0,100.0,1,0.0,0,1.85,9.77,75.32,2.08,12.83,5,82.17
