feature,is_interaction,mean_abs_sj,delta_sj,raw_min,raw_max,raw_p05,raw_p95
total_population,False,0.08359652992115518,0.06743181189918887,0.0,27033.0,207.30000000000004,11592.899999999996
transit_stops_count,False,0.04573329978723805,0.04020698705991084,0.0,445.0,0.0,84.0
business_sites_count,False,0.04676916862268707,0.04019623655554072,0.0,6133.0,31.0,1520.6999999999985
burglary_crime_est,False,0.47920551758209085,0.025020822849797564,0.0,394.0,51.300000000000004,210.39999999999986
total_crime_est,False,0.03234547916209461,0.019754804132643126,0.0,569.0,49.0,234.0
esri_market_idx_14068_forecast,False,0.027611450606987123,0.01700039873767898,0.0,504.0,57.0,182.0
hospital_count__x__business_sites_count,True,0.010391002520726276,0.011575573497049964,,,,
pct_veterans,False,0.015475125276697086,0.008768508750656712,0.0,21.32,0.3790000000000001,6.487999999999997
pct_public_assistance,False,0.016125008245931563,0.008763241960699976,0.0,100.0,0.0,10.386999999999993
pct_no_health_insurance,False,0.012833547961132062,0.008228593535798304,0.0,16.7,0.018000000000000255,9.692999999999994
business_sites_count__x__food_access_count,True,0.007781059478238322,0.00778336906250901,,,,
pct_below_poverty,False,0.012132338331803787,0.007429417463400586,0.0,100.0,2.744,28.78699999999999
nearest_osm_major_road_m,False,0.021734381966983542,0.007362122124776253,1.07,2174.82,21.621000000000006,1044.187
freeway_segments_count,False,0.01789641589009177,0.00633701070194705,0.0,121.0,0.0,50.69999999999993
business_sites_count__x__la_geohub_100yr_flood_intersects,True,0.006305368320172578,0.0056757265437639,,,,
osm_amenity_count,False,0.007953323491960458,0.00421534641675122,0.0,117.0,0.0,33.0
bare_ground_proxy_pct,False,0.013319709790934291,0.0036582738824325117,1.67,65.12,10.029000000000002,28.579999999999995
sud_treatment_count,False,0.009294119137205589,0.0033723427205739893,0.0,8.0,0.0,3.0
pct_below_poverty__x__affordable_housing_count,True,0.0053588175468793535,0.002242303124021768,,,,
pct_no_schooling,False,0.007681827727137419,0.0020555914990827966,0.0,20.63,0.0,10.463999999999999
fema_flood_hazard_area_pct,False,0.005758529999795087,0.002027346622661951,0.0,100.0,0.0,47.70899999999998
