feature,is_interaction,mean_abs_sj,delta_sj,raw_min,raw_max,raw_p05,raw_p95
2024 Total Crime Index,False,0.38904079768484184,0.05430523805316756,0.0,996.0,39.0,240.64999999999986
2024 Total Population,False,0.0575782552772709,0.04389249271724034,0.0,17821.0,21.0,6232.849999999996
nearest_osm_major_road_m,False,0.034480697892091364,0.017951323355120154,0.05,2802.93,10.911500000000002,1057.7979999999993
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent,False,0.02345940615012721,0.01397954314171539,0.0,100.0,1.0205000000000002,30.841499999999986
2023 Pop 35-64: No Health Insurance (ACS 5-Yr): Percent,False,0.01812206065100877,0.011478877363985207,0.0,23.16,0.0,10.4665
osm_amenity_count,False,0.018792337997024372,0.00971517831010944,0.0,79.0,0.0,19.0
2023 HHs w/Public Assist Income (ACS 5-Yr): Percent,False,0.01630828018890924,0.008088755565358841,0.0,100.0,0.0,11.3065
pct_below_poverty,False,0.01065528754712706,0.007936344483211096,0.0,100.0,1.0205000000000002,30.841499999999986
pct_no_health_insurance,False,0.011211824462919915,0.007764920878215004,0.0,23.16,0.0,10.4665
burglary_crime_est,False,0.012234525803844173,0.006215536665792813,0.0,424.0,42.0,202.0
tree_canopy_proxy_pct,False,0.009339837551335389,0.0055637160318103614,0.0,41.92,0.17,10.465999999999994
esri_market_idx_14068_forecast,False,0.011760671893449275,0.005469785013354414,0.0,504.0,26.800000000000068,184.29999999999973
2023 Pop 25+: No Schooling (ACS 5-Yr): Percent,False,0.011438799047063056,0.0053910496590112295,0.0,20.77,0.0,10.952999999999998
bare_ground_proxy_pct,False,0.010589944780880633,0.005228566663636256,0.18,100.0,8.647,29.76899999999999
2030 Value of Credit Card Debt: Index,False,0.008009235222086129,0.0050573509451302175,0.0,504.0,26.800000000000068,184.29999999999973
freeway_segments_count,False,0.009707173160025681,0.004182231121550756,0.0,96.0,0.0,35.0
pct_veterans_2,False,0.010398426696855962,0.003633910962867263,0.0,31.74,0.0,6.529499999999996
2024 Unemployment Rate: Index,False,0.008213875514616345,0.0033637579732567636,0.0,1036.0,0.0,252.0
lausd_school_site_count,False,0.0038481893349858005,0.00204706190775415,0.0,17.0,0.0,4.649999999999864
pct_no_schooling,False,0.004571896597231337,0.001959426347349031,0.0,20.77,0.0,10.952999999999998
unemployment_rate_idx,False,0.009059298397612556,0.0018820781742410583,0.0,1036.0,0.0,252.0
2023 HHs w/1+ Persons w/Disability (ACS 5-Yr): Percent,False,0.014227228566407431,0.001730423875773152,0.0,100.0,0.0,42.089499999999994
2023 Civilian Pop 18+: Veteran (ACS 5-Yr): Percent,False,0.005948173155867673,0.001690173951937959,0.0,35.35,0.0,6.965999999999995
pct_public_assistance,False,0.004411270097359512,0.0015921538923292368,0.0,100.0,0.0,11.3065
sud_treatment_count,False,0.006933683056777023,0.0015883401317278037,0.0,7.0,0.0,2.0
public_school_count,False,0.0035694093783057786,0.0014348621787938437,0.0,10.0,0.0,2.0
food_access_count,False,0.0024490421775046328,0.001309769384417305,0.0,7.0,0.0,1.0
pct_below_poverty__x__library_count,True,0.002352292920383441,0.0009877744888143278,,,,
nearest_freeway_m,False,0.005149407350769717,0.0009689963522845639,0.05,5565.28,46.49850000000001,3894.216499999996
pct_below_poverty__x__police_station_count,True,0.001183257250425504,0.000953105345415779,,,,
2023 HHs/Gross Rent 50+% of Income (ACS 5-Yr): Percent,False,0.008350276694533216,0.0009501222139250375,0.0,100.0,0.0,50.65899999999996
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__adult_recreation_count,True,0.001826983170951519,0.0008786772517414916,,,,
fema_flood_hazard_area_pct,False,0.005497590646495589,0.0006777104891303333,0.0,100.0,0.0,53.91949999999999
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__college_count,True,0.002190976207333908,0.0006689760454457816,,,,
police_station_count,False,0.0006826868696333033,0.0005826122280750085,0.0,1.0,0.0,0.0
college_count,False,0.0006759087572207497,0.0004972257664565642,0.0,4.0,0.0,1.0
recreation_center_count__x__osm_amenity_count,True,0.001783908000411673,0.0004914719052753145,,,,
recreation_center_count,False,0.0015342740699371663,0.00044257065681264343,0.0,2.0,0.0,1.0
water_proxy_pct,False,0.003116059626278808,0.0002989552202487663,0.0,80.28,0.36,6.36
la_geohub_500yr_flood_intersects,False,0.00095046010904983,0.0002883326937519226,0.0,1.0,0.0,1.0
pct_household_disability,False,0.017026785361593143,0.00028427150902741636,0.0,100.0,0.0,42.089499999999994
library_count,False,0.0010292417686652584,0.0002525975183338133,0.0,3.0,0.0,1.0
river_drainage_segments_count,False,0.0029377638570472816,0.0002056103263306048,0.0,45.0,0.0,7.0
2023 Pop 35-64: No Health Insurance (ACS 5-Yr): Percent__x__hospital_count,True,0.0013517116867763467,0.00016893066302976206,,,,
2023 Pop 35-64: No Health Insurance (ACS 5-Yr): Percent__x__police_station_count,True,0.0016162159232577305,0.00014018246643808012,,,,
pct_below_poverty__x__lausd_school_site_count,True,0.0037193800873511823,0.00013922008795022069,,,,
pct_below_poverty__x__la_geohub_100yr_flood_intersects,True,0.002559754303273049,9.636132644287487e-05,,,,
fire_station_count,False,0.00030823636538576524,8.132896797289661e-05,0.0,1.0,0.0,1.0
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__affordable_housing_count,True,0.000866216752495567,6.350704132650128e-05,,,,
pct_below_poverty__x__la_geohub_fire_hazard_area_pct,True,0.00047887985762991303,6.0236853473281086e-05,,,,
la_geohub_100yr_flood_intersects,False,0.0007830655401285236,5.464331309707409e-05,0.0,1.0,0.0,1.0
private_school_count,False,0.0009434535898859863,3.201724760915687e-05,0.0,5.0,0.0,1.0
la_geohub_fire_hazard_area_pct,False,0.0006139999138668368,7.075391612345039e-06,0.0,100.0,100.0,100.0
la_geohub_500yr_flood_area_pct,False,0.0022793795711954223,-5.47602030863041e-05,0.0,100.0,0.0,12.579999999999973
esri_market_idx_14068_forecast__x__la_geohub_fire_hazard_area_pct,True,0.0017216481971498404,-8.247646900594424e-05,,,,
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__fire_station_count,True,0.002047159791712332,-0.00016383340587503012,,,,
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__la_geohub_fire_hazard_area_pct,True,0.0016786282559218034,-0.00017318694249792747,,,,
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__hospital_count,True,0.0011593597060643238,-0.00018613618427638104,,,,
adult_recreation_count,False,0.00122641813767153,-0.0002187895513288472,0.0,3.0,0.0,1.0
hospital_count,False,0.0007823956595474284,-0.00023377986589949678,0.0,2.0,0.0,0.0
nearest_river_drainage_m,False,0.005177617433172251,-0.0003907910248222364,0.26,6520.5,55.2605,3643.988999999995
total_crime_est__x__affordable_housing_count,True,0.001565420561110795,-0.0005146804983187593,,,,
affordable_housing_count,False,0.0006550723351936709,-0.0007547610478716941,0.0,2.0,0.0,0.0
dominant_landcover_class,False,0.0012576883537388885,-0.0009345054121764232,1.0,7.0,3.0,5.0
pct_severe_rent_burden,False,0.002872388006425677,-0.000977726100469836,0.0,100.0,0.0,50.65899999999996
total_population__x__police_station_count,True,0.003646841087301967,-0.001537774816309271,,,,
2023 Pop 35-64: No Health Insurance (ACS 5-Yr): Percent__x__affordable_housing_count,True,0.0022866811899716626,-0.00154563252442036,,,,
total_crime_est__x__police_station_count,True,0.0022957466093290356,-0.0016129720197315721,,,,
2023 Pop 25+: HS Diploma (ACS 5-Yr): Percent,False,0.012107049219050422,-0.0016946398892034378,0.0,100.0,2.479500000000001,28.688999999999993
pct_hs_grad,False,0.00539705460540687,-0.0019174928244254836,0.0,100.0,2.479500000000001,28.688999999999993
2023 Pop w/Income Below Poverty Level (ACS 5-Yr): Percent__x__police_station_count,True,0.003319684566037808,-0.0022175727782626042,,,,
total_population,False,0.025619446518061008,-0.014124077165004752,0.0,17821.0,21.0,6232.849999999996
total_crime_est,False,0.032093173482184656,-0.018659860819919823,0.0,996.0,39.0,240.64999999999986
