feature,is_interaction,mean_abs_sj,delta_sj,raw_min,raw_max,raw_p05,raw_p95
total_population,False,0.1054206633720413,0.09665901762006439,0.0,35178.0,455.5,16646.09999999999
business_sites_count,False,0.06754527601339923,0.07154101598235067,0.0,8021.0,49.800000000000004,2257.9999999999995
total_crime_est,False,0.5410073385169717,0.025561740801494648,0.0,569.0,54.900000000000006,216.09999999999997
pct_no_schooling,False,0.034849886194075426,0.023315378512296963,0.0,15.75,0.0,10.194999999999999
pct_public_assistance,False,0.02600954446692285,0.01712701907029996,0.0,20.54,0.40300000000000014,10.100999999999996
pct_no_health_insurance,False,0.02286791174498701,0.015429135494623224,0.0,16.11,0.48,9.64
nearest_osm_major_road_m,False,0.02483577426518672,0.012218997567936485,0.37,2252.02,12.603,1148.0819999999999
lausd_school_site_count,False,0.01364850332470862,0.009605975274902236,0.0,25.0,0.0,9.0
college_count__x__business_sites_count,True,0.008384864576654836,0.009402716877876022,,,,
ACSHHPBLPV_P,False,0.017111094418980843,0.008767745886824049,0.0,100.0,4.177,27.535999999999998
freeway_segments_count,False,0.025776078668560493,0.008119960740748774,0.0,139.0,0.0,74.0
sud_treatment_count,False,0.018831390552811165,0.007891985833289898,0.0,7.0,0.0,3.0
unemployment_rate_idx,False,0.008793625959257177,0.00518852410346627,0.0,1043.0,49.800000000000004,226.0
pct_household_disability,False,0.013775196115817642,0.004873550618458176,0.0,100.0,10.319,39.573
esri_market_idx_14068_forecast,False,0.013562060179724307,0.00463596344022494,0.0,286.0,58.0,178.0
adult_recreation_count__x__business_sites_count,True,0.004494345656599653,0.004465386345585956,,,,
business_sites_count__x__water_proxy_pct,True,0.0059561872815738545,0.00437863171609555,,,,
la_geohub_fire_hazard_area_pct__x__tree_canopy_proxy_pct,True,0.008384480036089199,0.004318012848645612,,,,
public_school_count,False,0.012848160599224027,0.003425464110982083,0.0,16.0,0.0,4.0
fema_flood_hazard_area_pct,False,0.015492283895952317,0.003095662310716933,0.0,85.42,0.0,48.104999999999926
business_sites_count__x__dominant_landcover_class,True,0.005985330383298331,0.003026458176244776,,,,
la_geohub_500yr_flood_intersects,False,0.008437489734395991,0.002596932348382472,0.0,1.0,0.0,1.0
pct_severe_rent_burden,False,0.015745140560941475,0.0024052744283182236,0.0,100.0,9.664,45.086999999999996
affordable_housing_count__x__business_sites_count,True,0.0027897322220715847,0.0020643859123560472,,,,
fire_station_count,False,0.006984971110209969,0.0018738980036929823,0.0,2.0,0.0,1.0
pct_no_health_insurance__x__affordable_housing_count,True,0.00525431652668476,0.0015393375366230325,,,,
college_count,False,0.005409355661135369,0.0012838266227728624,0.0,4.0,0.0,1.0
library_count__x__business_sites_count,True,0.004097878411127908,0.0008043344420462339,,,,
business_sites_count__x__food_access_count,True,0.00792808909242001,0.0005935267877175414,,,,
hospital_count,False,0.0009222569176897091,0.000554407509038758,0.0,3.0,0.0,1.0
water_proxy_pct,False,0.012371536542374894,0.000489440006448851,0.0,55.67,0.649,5.750999999999993
la_geohub_100yr_flood_intersects,False,0.0017067844130458903,6.155187269816975e-05,0.0,1.0,0.0,1.0
recreation_center_count__x__business_sites_count,True,0.0028709493048374797,-0.00017174156574696468,,,,
pct_veterans_2,False,0.006062057484492802,-0.00017218585408352327,0.0,34.77,0.5070000000000001,5.76
business_sites_count__x__la_geohub_100yr_flood_area_pct,True,0.0033474855726207367,-0.00019633131340329323,,,,
police_station_count,False,0.0002753664232108093,-0.00020336077015150212,0.0,1.0,0.0,0.0
ACSHHPBLPV_P__x__affordable_housing_count,True,0.0016687790159066235,-0.00022011442810998842,,,,
bare_ground_proxy_pct,False,0.014102307191006379,-0.00032577695115759513,0.0,42.29,10.762,27.49
nearest_freeway_m,False,0.005305096486251232,-0.00032983249973841044,0.56,5360.94,39.849000000000004,3860.706999999997
business_sites_count__x__la_geohub_fire_hazard_area_pct,True,0.002764194951700976,-0.00036199715280286896,,,,
recreation_center_count,False,0.0010912657220862449,-0.0005497873976452089,0.0,3.0,0.0,2.0
library_count,False,0.005650907282871687,-0.0006089040631466699,0.0,3.0,0.0,1.0
adult_recreation_count,False,0.004098907366767113,-0.0006843107960623748,0.0,3.0,0.0,1.0
business_sites_count__x__police_station_count,True,0.0021074244066614078,-0.0007375387790341725,,,,
affordable_housing_count,False,0.0013492242192788431,-0.0007997035792562987,0.0,3.0,0.0,0.0
la_geohub_500yr_flood_area_pct,False,0.005021534740841428,-0.0009210880292492346,0.0,46.48,0.0,13.220999999999982
business_sites_count__x__la_geohub_100yr_flood_intersects,True,0.002312397769476954,-0.0009234779547443372,,,,
fema_flood_hazard_intersects,False,0.003893870460840494,-0.000974071282617328,0.0,1.0,0.0,1.0
dominant_landcover_class,False,0.002576178802931851,-0.0017591497104922796,0.0,6.0,3.0,5.0
private_school_count,False,0.008800533617205671,-0.00213388898651754,0.0,7.0,0.0,3.0
la_geohub_100yr_flood_area_pct,False,0.005232009285589415,-0.002140434497636696,0.0,16.45,0.0,2.5019999999999993
la_geohub_fire_hazard_area_pct,False,0.007337147680415448,-0.002301475868315493,0.12,100.0,85.321,100.0
tree_canopy_proxy_pct,False,0.018499950150686523,-0.002541843605402053,0.0,25.38,0.35,12.950999999999976
osm_amenity_count,False,0.012802695743023966,-0.0029695694879597607,0.0,191.0,0.0,48.19999999999993
business_sites_count__x__fema_flood_hazard_area_pct,True,0.005439494389168196,-0.0033758802186205873,,,,
total_population__x__la_geohub_fire_hazard_area_pct,True,0.007668637452453618,-0.0038287140129006857,,,,
pct_public_assistance__x__la_geohub_100yr_flood_intersects,True,0.007985071745364766,-0.00429332699912763,,,,
food_access_count,False,0.010437168387645152,-0.004802210322659038,0.0,8.0,0.0,3.0
nearest_river_drainage_m,False,0.014216432056508438,-0.004830828948935791,0.81,6568.99,52.406000000000006,3380.659999999999
total_population__x__police_station_count,True,0.005459302146318065,-0.004951315941016599,,,,
pct_hs_grad,False,0.022332479596154652,-0.006351042559393564,0.0,66.67,5.722,26.783
river_drainage_segments_count,False,0.020209497252999885,-0.007659667700500101,0.0,84.0,0.0,17.0
total_population__x__affordable_housing_count,True,0.012245592451153926,-0.010800295051592763,,,,
