interaction_name,rf_importance
business_sites_count__x__la_geohub_100yr_flood_intersects,0.014318036875985993
affordable_housing_count__x__business_sites_count,0.014308329869211808
business_sites_count__x__la_geohub_100yr_flood_area_pct,0.012325149825561986
business_sites_count__x__police_station_count,0.011378776966095681
business_sites_count__x__la_geohub_fire_hazard_area_pct,0.010789643333331106
business_sites_count__x__dominant_landcover_class,0.009261026425910344
transit_stops_count__x__affordable_housing_count,0.00866156303462201
hospital_count__x__business_sites_count,0.008060879052194204
transit_stops_count__x__police_station_count,0.006991989006333551
fire_station_count__x__business_sites_count,0.0068027523277382415
college_count__x__business_sites_count,0.006100871271311212
transit_stops_count__x__la_geohub_100yr_flood_area_pct,0.005502835508010357
recreation_center_count__x__business_sites_count,0.0048410826450191085
transit_stops_count__x__hospital_count,0.004833827016680978
library_count__x__business_sites_count,0.004827621904817462
transit_stops_count__x__la_geohub_fire_hazard_area_pct,0.004814350453137546
transit_stops_count__x__la_geohub_100yr_flood_intersects,0.004415504900502706
pct_below_poverty__x__affordable_housing_count,0.0043834874728314885
total_crime_est__x__la_geohub_fire_hazard_area_pct,0.004367086553724827
adult_recreation_count__x__business_sites_count,0.0042937069101629055
total_crime_est__x__fire_station_count,0.00421476567722637
pct_below_poverty__x__la_geohub_100yr_flood_area_pct,0.0041584071875437525
total_population__x__affordable_housing_count,0.004147347119985698
total_crime_est__x__affordable_housing_count,0.003831048832151655
