interaction_name,rf_importance
pct_below_poverty__x__la_geohub_fire_hazard_area_pct,0.009687247940929233
pct_below_poverty__x__affordable_housing_count,0.008826785624945802
total_crime_est__x__affordable_housing_count,0.00708024579166209
total_crime_est__x__la_geohub_fire_hazard_area_pct,0.006802737149636099
pct_below_poverty__x__police_station_count,0.006670976928760435
pct_no_health_insurance__x__police_station_count,0.005673324658751028
nearest_osm_major_road_m__x__la_geohub_fire_hazard_area_pct,0.005646379736195365
affordable_housing_count__x__osm_amenity_count,0.005289511527435869
burglary_crime_est__x__dominant_landcover_class,0.005119176521754822
pct_below_poverty__x__library_count,0.005081950703845022
police_station_count__x__nearest_osm_major_road_m,0.0050182105494068294
total_crime_est__x__police_station_count,0.004729689599621133
total_crime_est__x__dominant_landcover_class,0.0046476678767038765
pct_no_health_insurance__x__hospital_count,0.004620225328158229
pct_no_health_insurance__x__affordable_housing_count,0.004608607317246514
affordable_housing_count__x__nearest_osm_major_road_m,0.004595061883770941
pct_below_poverty__x__hospital_count,0.004578976153549077
pct_no_health_insurance__x__library_count,0.004475851462014467
pct_below_poverty__x__fire_station_count,0.003981765907293477
nearest_osm_major_road_m__x__la_geohub_500yr_flood_area_pct,0.0038205656756611934
pct_below_poverty__x__river_drainage_segments_count,0.0037120873494536945
total_crime_est__x__library_count,0.003626864335153172
hospital_count__x__nearest_osm_major_road_m,0.0035796804307759588
total_population__x__affordable_housing_count,0.0034004264872340238
