interaction_name,rf_importance
affordable_housing_count__x__business_sites_count,0.01867191115041453
business_sites_count__x__police_station_count,0.018504052986633653
business_sites_count__x__la_geohub_100yr_flood_area_pct,0.013757129245181847
business_sites_count__x__la_geohub_fire_hazard_area_pct,0.013328707277120024
business_sites_count__x__dominant_landcover_class,0.009186569512751257
business_sites_count__x__la_geohub_100yr_flood_intersects,0.008135977720924429
recreation_center_count__x__business_sites_count,0.007448567586622905
hospital_count__x__business_sites_count,0.006386134976735165
total_population__x__affordable_housing_count,0.00589865002961519
college_count__x__business_sites_count,0.005493101840912349
affordable_housing_count__x__lausd_school_site_count,0.005308500862249554
adult_recreation_count__x__business_sites_count,0.004864099640555447
library_count__x__business_sites_count,0.0048063475740645735
business_sites_count__x__river_drainage_segments_count,0.004764879774534747
business_sites_count__x__water_proxy_pct,0.004546215631406611
pct_no_schooling__x__osm_amenity_count,0.004105311272929734
fire_station_count__x__business_sites_count,0.00410519917566089
total_population__x__recreation_center_count,0.0038523628536677196
affordable_housing_count__x__nearest_osm_major_road_m,0.00384553481208871
ACSHHPBLPV_P__x__affordable_housing_count,0.0035758970318597433
total_crime_est__x__dominant_landcover_class,0.0034898658078968917
sud_treatment_count__x__business_sites_count,0.0032802719304588814
total_population__x__hospital_count,0.0032793332171429357
pct_no_schooling__x__business_sites_count,0.0032495393190766224
